,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-20-10 345,0,0.2,0,0,0.045486,0.209031,0.541687,0.829727,-0.026794,0.109619,0.862645454,0.544253342,0.114886,-0.659917,0.074051
02-20-10 404,0,0.44,0,0,0.045486,0,0.541687,0,-0.026794,0,0,0.544253342,0.114886,-0.659917,0.074051
02-20-10 453,0,0.64,0,0,0.045486,0,0.541687,0,-0.026794,0,0,0.544253342,0.114886,-0.659917,0.074051
02-20-10 511,0,0.6,0,0,0.045486,0,0.541687,0,-0.026794,0,0,0.544253342,0.114886,-0.659917,0.074051
02-20-10 561,16.52,0.16,0,0,0.077682,0.032196,1.331512,0.789825,-0.17984,0.153046,0.805160351,1.345845877,0.683627,0.780444,-0.384678
02-20-10 609,0,0,0,0,0.077682,0,1.331512,0,-0.17984,0,0,1.345845877,0.683627,0.780444,-0.384678
02-20-10 661,0,0,0,0,0.077682,0,1.331512,0,-0.17984,0,0,1.345845877,0.683627,0.780444,-0.384678
02-20-10 708,0,0,0,0,0.077682,0,1.331512,0,-0.17984,0,0,1.345845877,0.683627,0.780444,-0.384678
02-20-10 765,0,0,0,0,-0.256714,0.334396,0.844742,0.48677,0.085159,0.264999,0.647294514,0.886985445,1.383008,1.428824,-0.004184
02-20-10 814,0,0,0,0,-0.256714,0,0.844742,0,0.085159,0,0,0.886985445,1.383008,1.428824,-0.004184
02-20-10 863,0,0,0,0,-0.256714,0,0.844742,0,0.085159,0,0,0.886985445,1.383008,1.428824,-0.004184
02-20-10 922,0,0,0,0,-0.256714,0,0.844742,0,0.085159,0,0,0.886985445,1.383008,1.428824,-0.004184
02-20-10 970,0,0,0,0,0.010956,0.26767,1.003983,0.159241,-0.133316,0.218475,0.380442178,1.012854903,0.830619,0.406228,0.458246
02-20-11 019,0,0,0,0,0.010956,0,1.003983,0,-0.133316,0,0,1.012854903,0.830619,0.406228,0.458246
02-20-11 069,0,0,0,0,0.010956,0,1.003983,0,-0.133316,0,0,1.012854903,0.830619,0.406228,0.458246
02-20-11 127,0,0,0,0,0.010956,0,1.003983,0,-0.133316,0,0,1.012854903,0.830619,0.406228,0.458246
02-20-11 187,0,0,0,0,-0.334137,0.345093,1.016266,0.012283,0.318176,0.451492,0.568405733,1.116100392,-0.348901,0.442243,0.149738
02-20-11 230,0,0,0.4,0.56,-0.334137,0,1.016266,0,0.318176,0,0,1.116100392,-0.348901,0.442243,0.149738
02-20-11 331,1.6,0,0.2,0.76,-0.334137,0,1.016266,0,0.318176,0,0,1.116100392,-0.348901,0.442243,0.149738
02-20-11 336,0,0,0.08,0.2,-0.334137,0,1.016266,0,0.318176,0,0,1.116100392,-0.348901,0.442243,0.149738
02-20-11 380,0,0,0,0.04,-0.177979,0.156158,0.833847,0.182419,-0.185242,0.503418,0.557755946,0.872520454,-1.607532,0.373705,-0.949273
02-20-11 429,0,0,0,0,-0.177979,0,0.833847,0,-0.185242,0,0,0.872520454,-1.607532,0.373705,-0.949273
02-20-11 489,0,0,0,0,-0.177979,0,0.833847,0,-0.185242,0,0,0.872520454,-1.607532,0.373705,-0.949273
02-20-11 537,0,0,0,0,-0.177979,0,0.833847,0,-0.185242,0,0,0.872520454,-1.607532,0.373705,-0.949273
02-20-11 585,0,0.04,0,0,0.004837,0.182816,0.836288,0.002441,0.340454,0.525696,0.556582368,0.902945149,1.03767,-0.964035,0.595475
02-20-11 634,0,0,0,0,0.004837,0,0.836288,0,0.340454,0,0,0.902945149,1.03767,-0.964035,0.595475
02-20-11 693,0,0,0,0,0.004837,0,0.836288,0,0.340454,0,0,0.902945149,1.03767,-0.964035,0.595475
02-20-11 746,0,0,0,0,0.004837,0,0.836288,0,0.340454,0,0,0.902945149,-0.213308,0.564145,0.726674
02-20-11 796,0,0,0,0,0.057785,0.052948,0.245529,0.590759,-1.265549,1.606003,1.712029592,1.290440959,-0.213308,0.564145,0.726674
02-20-11 840,0,0,0,0,0.057785,0,0.245529,0,-1.265549,0,0,1.290440959,-0.213308,0.564145,0.726674
02-20-11 899,0,0,0,0,0.057785,0,0.245529,0,-1.265549,0,0,1.290440959,-0.213308,0.564145,0.726674
02-20-11 947,0,0,0,0,0.057785,0,0.245529,0,-1.265549,0,0,1.290440959,0.656015,1.175785,0.150853
02-20-12 141,0,0,0,0,-0.308136,0.365921,0.997971,0.752442,0.041031,1.30658,1.55152133,1.045264299,0.656015,1.175785,0.150853
02-20-12 145,0,0,0,0,-0.308136,0,0.997971,0,0.041031,0,0,1.045264299,0.656015,1.175785,0.150853
02-20-12 147,0,0,0,0,-0.308136,0,0.997971,0,0.041031,0,0,1.045264299,0.656015,1.175785,0.150853
02-20-12 243,0.04,0,0,0.6,-0.197586,0.11055,1.160889,0.162918,0.074585,0.033554,0.199723429,1.179943397,0.767928,0.337542,0.582775
02-20-12 255,0,0,0,0,-0.197586,0,1.160889,0,0.074585,0,0,1.179943397,0.767928,0.337542,0.582775
02-20-12 259,0,0,0,0,-0.197586,0,1.160889,0,0.074585,0,0,1.179943397,0.767928,0.337542,0.582775
02-20-12 308,0,0,0.16,0.44,-0.197586,0,1.160889,0,0.074585,0,0,1.179943397,0.767928,0.337542,0.582775
02-20-12 357,0,0,0.32,1.04,0.186783,0.384369,1.43631,0.275421,-0.491516,0.566101,0.737608702,1.529530086,-2.848431,-1.696088,-1.239448
02-20-12 416,0,0,0.2,0.76,0.186783,0,1.43631,0,-0.491516,0,0,1.529530086,-2.848431,-1.696088,-1.239448
